IAUC_ID	SDSS_ID	U_mag_app	U_mag	U_sf	B_mag_app	B_mag	B_sf	V_mag_app	V_mag	V_sf	R_mag_app	R_mag	R_sf	I_mag_app	I_mag	I_sf	chi_square	redshift	lumi_dis	B_max_day
SN2005ko		20.584	-19.051	0.999	20.915	-18.72	0.93	20.853	-18.782	0.939	20.811	-18.823	0.587	0	0	0	1.332	0.186	39.6357	53681.1
SN2005kp		19.43	-19.154	1.365	19.299	-19.286	0.984	19.504	-19.08	1.108	19.626	-18.958	1.06	19.795	-18.789	0.971	0.64	0.1174	38.5853	53688.5
none	SN2746	20.546	-18.067	0.925	21.244	-17.369	1.265	21.122	-17.491	1.974	20.686	-17.927	1.919	20.416	-18.197	1.683	2.028	0.1189	38.614	53649.5
none	SN2766	19.466	-19.675	0.998	19.98	-19.162	0.985	20.029	-19.112	0.763	0	0	0	0	0	0	1.89	0.15	39.1423	53617.9
none	SN2928	20.021	-19.105	0.869	20.621	-18.505	1.002	20.513	-18.613	0.946	0	0	0	0	0	0	1.554	0.149	39.1271	53644.4
none	SN4019	20.443	-19.134	1.017	20.816	-18.761	1.032	20.842	-18.735	1.11	0	0	0	0	0	0	1.34	0.1814	39.5781	53652.3
none	SN4064	19.728	-19.511	0.975	20.26	-18.978	0.942	20.417	-18.821	1.015	0	0	0	0	0	0	2.653	0.1565	39.2393	53642.6
none	SN694	0	0	0	20.214	-18.557	0.982	19.988	-18.784	1.076	19.862	-18.909	0.939	0	0	0	1.007	0.1275	38.7724	53622.4
none	SN779	20.786	-19.42	1.055	21.099	-19.107	1.061	21.155	-19.051	0.991	0	0	0	0	0	0	0.476	0.238	40.2066	53625.7
SN2005gp		19.866	-18.89	0.534	19.979	-18.776	0.87	19.919	-18.836	0.973	19.883	-18.872	0.862	20.314	-18.441	0.96	0.501	0.1266	38.7563	53637.9
SN2005fp		21.299	-18.616	0.931	21.611	-18.304	0.886	21.669	-18.246	1.033	20.62	-19.295	1.281	0	0	0	0.281	0.21	39.916	53633.2
SN2005fx		20.832	-19.836	0.751	21.578	-19.089	0.922	21.804	-18.864	1.168	0	0	0	0	0	0	0.773	0.29	40.6687	53632.4
SN2005ga		19.621	-19.595	1.031	20.216	-19	0.961	20.371	-18.846	0.931	20.707	-18.509	1.201	0	0	0	1.959	0.155	39.2173	53644.4
SN2005if		18.509	-18.819	0.989	18.523	-18.805	0.962	18.479	-18.849	1.04	18.408	-18.92	0.872	18.684	-18.643	0.901	1.193	0.0671	37.3288	53660.3
SN2005hs		20.601	-20.147	1.326	21.403	-19.344	0.967	0	0	0	0	0	0	0	0	0	1.104	0.3	40.7484	53655.9
SN2005ig		21.06	-19.533	0.89	21.558	-19.036	0.977	21.639	-18.955	0.799	21.024	-19.57	0.784	0	0	0	0.585	0.281	40.5947	53666.4
SN2005hc		17.034	-19.451	0.969	17.274	-19.211	1	17.322	-19.163	1.023	17.508	-18.977	1.023	17.605	-18.88	0.994	4.096	0.0459	36.4857	53668.1
SN2005ij		19.527	-19.192	0.898	19.561	-19.158	1	19.58	-19.139	1.061	19.734	-18.986	1.049	19.85	-18.869	1.118	1.244	0.1246	38.7202	53673.6
SN2005ia		20.814	-19.506	1.262	21.232	-19.088	1.025	21.553	-18.767	1.347	21.093	-19.227	1.681	0	0	0	0.395	0.25	40.3212	53661.7
SN2005hu		20.641	-19.382	1.033	21.05	-18.973	1.043	21.215	-18.808	1.216	0	0	0	0	0	0	0.7	0.22	40.0238	53666.2
SN2005gf		20.347	-19.878	1.141	20.923	-19.302	1.047	20.919	-19.306	0.999	21.021	-19.204	1.935	0	0	0	0.723	0.24	40.2261	53643
SN2005ii		21.387	-19.321	1.721	21.78	-18.928	1.052	21.828	-18.88	1.089	21.296	-19.412	1.969	0	0	0	0.695	0.295	40.7088	53674.6
SN2005lg		21.49	-19.628	1.264	22.057	-19.061	1.053	0	0	0	0	0	0	0	0	0	1.144	0.351	41.119	53683.5
SN2005fw		19.206	-20.011	1.182	19.725	-19.491	1.065	20.001	-19.215	1.034	19.949	-19.268	1.115	0	0	0	0.781	0.155	39.2173	53638.8
SN2005ie		21.026	-19.559	1.088	21.437	-19.148	1.07	21.727	-18.858	1.12	0	0	0	0	0	0	0.844	0.28	40.5863	53665.3
SN2005fi		20.546	-19.911	1.286	21.224	-19.233	1.083	21.392	-19.064	1.038	0	0	0	0	0	0	0.479	0.265	40.4574	53638.4
SN2005hz		20.3	-18.533	0.84	20.099	-18.734	1.083	19.917	-18.916	1.099	19.946	-18.887	1.138	20.053	-18.78	1.107	0.778	0.131	38.8339	53666.9
none	SN1166	21.588	-19.731	1.262	21.817	-19.502	1.113	0	0	0	0	0	0	0	0	0	0.433	0.382	41.3199	53628.5
SN2005fr		21.106	-19.521	1.193	21.593	-19.033	1.143	21.762	-18.864	1.028	21.31	-19.317	1.612	0	0	0	0.593	0.285	40.6278	53634.3
SN2005ih		21.025	-19.387	1.12	21.44	-18.972	1.144	21.464	-18.947	1.162	0	0	0	0	0	0	0.593	0.26	40.4128	53674.4
SN2005gg		20.201	-19.925	1.146	20.804	-19.322	1.172	20.958	-19.168	0.971	20.687	-19.439	0.877	0	0	0	0.511	0.23	40.1271	53649.3
SN2005fr		21.057	-19.569	1.36	21.599	-19.028	1.258	21.81	-18.817	1.19	21.261	-19.366	1.113	0	0	0	0.595	0.285	40.6278	53631.2
SN2005ic		20.967	-19.858	1.038	21.547	-19.277	1.395	0	0	0	0	0	0	0	0	0	0.591	0.31	40.8256	53667.2
